evidence,gocategory,id,pubmed,qualifier,term,gene,ontology,category
IMP,BP,GO:0050860,24337748,involved_in,negative regulation of T cell receptor signaling pathway,GBP1,BP,
IDA,BP,GO:0051604,25119034,acts_upstream_of_or_within,protein maturation,GBP1,BP,
IEA,BP,GO:0051607,,involved_in,defense response to virus,GBP1,BP,
IDA,BP,GO:0051715,31268602,involved_in,cytolysis in another organism,GBP1,BP,
IMP,BP,GO:0070373,24337748,involved_in,negative regulation of ERK1 and ERK2 cascade,GBP1,BP,
IBA,BP,GO:0071346,,involved_in,cellular response to type II interferon,GBP1,BP,
IDA,BP,GO:0071346,"[17266443, 21151871]",involved_in,cellular response to type II interferon,GBP1,BP,
IEP,BP,GO:0071347,17266443,involved_in,cellular response to interleukin-1,GBP1,BP,
IEP,BP,GO:0071356,17266443,involved_in,cellular response to tumor necrosis factor,GBP1,BP,
IDA,BP,GO:0072665,21151871,involved_in,protein localization to vacuole,GBP1,BP,
IDA,BP,GO:0140639,31268602,involved_in,positive regulation of pyroptotic inflammatory response,GBP1,BP,
IDA,BP,GO:0160075,"[25119034, 26375003]",acts_upstream_of_or_within,non-canonical inflammasome complex assembly,GBP1,BP,
IDA,BP,GO:0160075,"[31268602, 32510692, 32581219]",involved_in,non-canonical inflammasome complex assembly,GBP1,BP,
IMP,BP,GO:1900025,24337748,involved_in,negative regulation of substrate adhesion-dependent cell spreading,GBP1,BP,
IGI,BP,GO:1903076,24337748,involved_in,regulation of protein localization to plasma membrane,GBP1,BP,
IMP,BP,GO:1903077,24337748,involved_in,negative regulation of protein localization to plasma membrane,GBP1,BP,
IBA,BP,GO:0000054,,involved_in,ribosomal subunit export from nucleus,LSG1,BP,
IEA,BP,GO:0015031,,involved_in,protein transport,LSG1,BP,
IDA,BP,GO:0051168,16209721,involved_in,nuclear export,LSG1,BP,
IBA,BP,GO:0042147,,involved_in,"retrograde transport, endosome to Golgi",TMEM87A,BP,
IGI,BP,GO:0042147,26157166,acts_upstream_of_or_within,"retrograde transport, endosome to Golgi",TMEM87A,BP,
IMP,BP,GO:0050976,38422143,involved_in,detection of mechanical stimulus involved in sensory perception of touch,TMEM87A,BP,
IMP,BP,GO:0071260,32228863,involved_in,cellular response to mechanical stimulus,TMEM87A,BP,
IBA,BP,GO:0000226,,involved_in,microtubule cytoskeleton organization,SIK3,BP,
IDA,BP,GO:0006468,14976552,involved_in,protein phosphorylation,SIK3,BP,
IBA,BP,GO:0035556,,involved_in,intracellular signal transduction,SIK3,BP,
IMP,BP,GO:1904263,30232230,involved_in,positive regulation of TORC1 signaling,SIK3,BP,
IMP,BP,GO:1904515,30232230,involved_in,positive regulation of TORC2 signaling,SIK3,BP,
IBA,BP,GO:0000055,,involved_in,ribosomal large subunit export from nucleus,NMD3,BP,
IMP,BP,GO:0000055,12773398,involved_in,ribosomal large subunit export from nucleus,NMD3,BP,
IEA,BP,GO:0015031,,involved_in,protein transport,NMD3,BP,
IMP,BP,GO:1902680,23782956,involved_in,positive regulation of RNA biosynthetic process,NMD3,BP,
IMP,BP,GO:1904751,23782956,involved_in,positive regulation of protein localization to nucleolus,NMD3,BP,
IMP,BP,GO:0008283,27939641,involved_in,cell population proliferation,YY1AP1,BP,
IMP,BP,GO:0030154,27939641,involved_in,cell differentiation,YY1AP1,BP,
IDA,BP,GO:0051726,17541814,involved_in,regulation of cell cycle,YY1AP1,BP,
IMP,BP,GO:0051726,27939641,involved_in,regulation of cell cycle,YY1AP1,BP,
IEA,BP,GO:0006325,,involved_in,chromatin organization,ING3,BP,
IEA,BP,GO:0006338,,involved_in,chromatin remodeling,ING3,BP,
NAS,BP,GO:0042981,14966270,involved_in,regulation of apoptotic process,ING3,BP,
NAS,BP,GO:0045893,27153538,involved_in,positive regulation of DNA-templated transcription,ING3,BP,
NAS,BP,GO:0045944,14966270,involved_in,positive regulation of transcription by RNA polymerase II,ING3,BP,
IMP,BP,GO:0051726,27153538,involved_in,regulation of cell cycle,ING3,BP,
IDA,BP,GO:1905168,27153538,involved_in,positive regulation of double-strand break repair via homologous recombination,ING3,BP,
NAS,BP,GO:2000779,14966270,involved_in,regulation of double-strand break repair,ING3,BP,
IMP,BP,GO:0000132,35849559,involved_in,establishment of mitotic spindle orientation,CCDC66,BP,
IDA,BP,GO:0001578,35849559,involved_in,microtubule bundle formation,CCDC66,BP,
IMP,BP,GO:0001578,28235840,involved_in,microtubule bundle formation,CCDC66,BP,
ISS,BP,GO:0001895,,involved_in,retina homeostasis,CCDC66,BP,
IMP,BP,GO:0007020,35849559,involved_in,microtubule nucleation,CCDC66,BP,
IMP,BP,GO:0007052,35849559,involved_in,mitotic spindle organization,CCDC66,BP,
IMP,BP,GO:0007080,35849559,involved_in,mitotic metaphase chromosome alignment,CCDC66,BP,
IEA,BP,GO:0030030,,involved_in,cell projection organization,CCDC66,BP,
IMP,BP,GO:0032465,35849559,involved_in,regulation of cytokinesis,CCDC66,BP,
IEA,BP,GO:0050908,,involved_in,detection of light stimulus involved in visual perception,CCDC66,BP,
IEA,BP,GO:0051301,,involved_in,cell division,CCDC66,BP,
IBA,BP,GO:0060271,,involved_in,cilium assembly,CCDC66,BP,
IMP,BP,GO:0060271,"[28235840, 36606424]",involved_in,cilium assembly,CCDC66,BP,
IMP,BP,GO:0090307,35849559,involved_in,mitotic spindle assembly,CCDC66,BP,
IMP,BP,GO:1902850,35849559,involved_in,microtubule cytoskeleton organization involved in mitosis,CCDC66,BP,
IMP,BP,GO:1903564,28235840,involved_in,regulation of protein localization to cilium,CCDC66,BP,
IMP,BP,GO:1905349,36606424,involved_in,ciliary transition zone assembly,CCDC66,BP,
IEA,BP,GO:0007165,,involved_in,signal transduction,RIT1,BP,
TAS,BP,GO:0007165,8918462,involved_in,signal transduction,RIT1,BP,
IBA,BP,GO:0007265,,involved_in,Ras protein signal transduction,RIT1,BP,
IDA,BP,GO:0007265,23791108,involved_in,Ras protein signal transduction,RIT1,BP,
IBA,BP,GO:0000070,,involved_in,mitotic sister chromatid segregation,KIF18A,BP,
IEA,BP,GO:0000278,,involved_in,mitotic cell cycle,KIF18A,BP,
IBA,BP,GO:0007018,,involved_in,microtubule-based movement,KIF18A,BP,
IEA,BP,GO:0007018,,involved_in,microtubule-based movement,KIF18A,BP,
IBA,BP,GO:0007019,,involved_in,microtubule depolymerization,KIF18A,BP,
IDA,BP,GO:0007019,17346968,involved_in,microtubule depolymerization,KIF18A,BP,
IEA,BP,GO:0007019,,involved_in,microtubule depolymerization,KIF18A,BP,
IDA,BP,GO:0007080,17346968,involved_in,mitotic metaphase chromosome alignment,KIF18A,BP,
IEA,BP,GO:0007080,,acts_upstream_of_or_within,mitotic metaphase chromosome alignment,KIF18A,BP,
IEA,BP,GO:0007140,,acts_upstream_of_or_within,male meiotic nuclear division,KIF18A,BP,
IEA,BP,GO:0015031,,involved_in,protein transport,KIF18A,BP,
IEA,BP,GO:0070507,,acts_upstream_of_or_within,regulation of microtubule cytoskeleton organization,KIF18A,BP,
IEA,BP,GO:0071392,,involved_in,cellular response to estradiol stimulus,KIF18A,BP,
IEA,BP,GO:0072520,,acts_upstream_of_or_within,seminiferous tubule development,KIF18A,BP,
IEA,BP,GO:0006325,,involved_in,chromatin organization,WAC,BP,
IMP,BP,GO:0006338,21329877,involved_in,chromatin remodeling,WAC,BP,
IMP,BP,GO:0006974,21329877,involved_in,DNA damage response,WAC,BP,
IBA,BP,GO:0010506,,involved_in,regulation of autophagy,WAC,BP,
IMP,BP,GO:0016239,22354037,involved_in,positive regulation of macroautophagy,WAC,BP,
IMP,BP,GO:0031571,21329877,involved_in,mitotic G1 DNA damage checkpoint signaling,WAC,BP,
IMP,BP,GO:0032435,22354037,involved_in,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,WAC,BP,
IMP,BP,GO:0045893,21329877,involved_in,positive regulation of DNA-templated transcription,WAC,BP,
IBA,BP,GO:1904263,,involved_in,positive regulation of TORC1 signaling,WAC,BP,
IEA,BP,GO:0006325,,involved_in,chromatin organization,CHD2,BP,
IEA,BP,GO:0006338,,involved_in,chromatin remodeling,CHD2,BP,
IEA,BP,GO:0006974,,acts_upstream_of_or_within,DNA damage response,CHD2,BP,
IEA,BP,GO:0007517,,involved_in,muscle organ development,CHD2,BP,
ISS,BP,GO:0007517,,involved_in,muscle organ development,CHD2,BP,
IEA,BP,GO:0010467,,involved_in,gene expression,CHD2,BP,
IBA,BP,GO:0034728,,involved_in,nucleosome organization,CHD2,BP,
IEA,BP,GO:0060218,,acts_upstream_of_or_within,hematopoietic stem cell differentiation,CHD2,BP,
IBA,BP,GO:0006402,,NOT involved_in,mRNA catabolic process,NUDT16L1,BP,
IBA,BP,GO:0016077,,NOT involved_in,sno(s)RNA catabolic process,NUDT16L1,BP,
IDA,BP,GO:2001033,28241136,involved_in,negative regulation of double-strand break repair via nonhomologous end joining,NUDT16L1,BP,
,,,,,,RSRC2,BP,
IBA,BP,GO:0006122,,involved_in,"mitochondrial electron transport, ubiquinol to cytochrome c",CYCS,BP,
IBA,BP,GO:0006123,,involved_in,"mitochondrial electron transport, cytochrome c to oxygen",CYCS,BP,
IEA,BP,GO:0006915,,involved_in,apoptotic process,CYCS,BP,
TAS,BP,GO:0045333,,involved_in,cellular respiration,CYCS,BP,
ISS,BP,GO:0097190,12107093,involved_in,apoptotic signaling pathway,CYCS,BP,
NAS,BP,GO:0097193,10206961,involved_in,intrinsic apoptotic signaling pathway,CYCS,BP,
TAS,BP,GO:0097194,9267021,involved_in,execution phase of apoptosis,CYCS,BP,
IEA,BP,GO:0006355,,involved_in,regulation of DNA-templated transcription,ZNF776,BP,
IBA,BP,GO:0006357,,involved_in,regulation of transcription by RNA polymerase II,ZNF776,BP,
IEA,BP,GO:0045892,,involved_in,negative regulation of DNA-templated transcription,ZNF776,BP,
IEA,BP,GO:0045944,,involved_in,positive regulation of transcription by RNA polymerase II,ZNF776,BP,
,,,,,,FBXO28,BP,
IBA,BP,GO:0006355,,involved_in,regulation of DNA-templated transcription,YAF2,BP,
IDA,BP,GO:0045892,12706874,involved_in,negative regulation of DNA-templated transcription,YAF2,BP,
IDA,BP,GO:0045893,11593398,involved_in,positive regulation of DNA-templated transcription,YAF2,BP,
IEA,BP,GO:0045893,,involved_in,positive regulation of DNA-templated transcription,YAF2,BP,
IEA,BP,GO:0006376,,acts_upstream_of_or_within,mRNA splice site recognition,PTBP2,BP,
IEA,BP,GO:0006397,,involved_in,mRNA processing,PTBP2,BP,
IEA,BP,GO:0008380,,involved_in,RNA splicing,PTBP2,BP,
IEA,BP,GO:0021510,,involved_in,spinal cord development,PTBP2,BP,
IEA,BP,GO:0021549,,involved_in,cerebellum development,PTBP2,BP,
IDA,BP,GO:0033119,18335065,involved_in,negative regulation of RNA splicing,PTBP2,BP,
IEA,BP,GO:0033119,,involved_in,negative regulation of RNA splicing,PTBP2,BP,
IBA,BP,GO:0043484,,involved_in,regulation of RNA splicing,PTBP2,BP,
IEA,BP,GO:2000177,,acts_upstream_of_or_within,regulation of neural precursor cell proliferation,PTBP2,BP,
IMP,BP,GO:0001731,23047696,involved_in,formation of translation preinitiation complex,DHX29,BP,
IEA,BP,GO:0006412,,involved_in,translation,DHX29,BP,
IEA,BP,GO:0006413,,involved_in,translational initiation,DHX29,BP,
IMP,BP,GO:0042255,20018725,involved_in,ribosome assembly,DHX29,BP,
IEA,BP,GO:0045727,,involved_in,positive regulation of translation,DHX29,BP,
IEA,BP,GO:0045948,,involved_in,positive regulation of translational initiation,DHX29,BP,
IBA,BP,GO:0008535,,involved_in,respiratory chain complex IV assembly,COA6,BP,
IDA,BP,GO:0008535,"[25959673, 26160915]",involved_in,respiratory chain complex IV assembly,COA6,BP,
IEA,BP,GO:0008535,,involved_in,respiratory chain complex IV assembly,COA6,BP,
IMP,BP,GO:0008535,24549041,involved_in,respiratory chain complex IV assembly,COA6,BP,
IMP,BP,GO:0033617,"[24549041, 25959673, 26160915]",involved_in,mitochondrial cytochrome c oxidase assembly,COA6,BP,
IEA,BP,GO:0002250,,involved_in,adaptive immune response,AKIRIN2,BP,
IEA,BP,GO:0002376,,involved_in,immune system process,AKIRIN2,BP,
IEA,BP,GO:0002821,,involved_in,positive regulation of adaptive immune response,AKIRIN2,BP,
ISS,BP,GO:0002821,,involved_in,positive regulation of adaptive immune response,AKIRIN2,BP,
IDA,BP,GO:0006606,34711951,involved_in,protein import into nucleus,AKIRIN2,BP,
IEA,BP,GO:0009792,,involved_in,embryo development ending in birth or egg hatching,AKIRIN2,BP,
IDA,BP,GO:0010498,34711951,acts_upstream_of_or_within,proteasomal protein catabolic process,AKIRIN2,BP,
IEA,BP,GO:0015031,,involved_in,protein transport,AKIRIN2,BP,
IEA,BP,GO:0021987,,involved_in,cerebral cortex development,AKIRIN2,BP,
ISS,BP,GO:0021987,,involved_in,cerebral cortex development,AKIRIN2,BP,
IDA,BP,GO:0031144,34711951,involved_in,proteasome localization,AKIRIN2,BP,
IEA,BP,GO:0032496,,acts_upstream_of_or_within,response to lipopolysaccharide,AKIRIN2,BP,
IEA,BP,GO:0032755,,involved_in,positive regulation of interleukin-6 production,AKIRIN2,BP,
ISS,BP,GO:0032755,,involved_in,positive regulation of interleukin-6 production,AKIRIN2,BP,
IEA,BP,GO:0042742,,involved_in,defense response to bacterium,AKIRIN2,BP,
ISS,BP,GO:0042742,,involved_in,defense response to bacterium,AKIRIN2,BP,
IEA,BP,GO:0045087,,involved_in,innate immune response,AKIRIN2,BP,
IBA,BP,GO:0045089,,involved_in,positive regulation of innate immune response,AKIRIN2,BP,
IEA,BP,GO:0045089,,involved_in,positive regulation of innate immune response,AKIRIN2,BP,
ISS,BP,GO:0045089,,involved_in,positive regulation of innate immune response,AKIRIN2,BP,
IBA,BP,GO:0045944,,involved_in,positive regulation of transcription by RNA polymerase II,AKIRIN2,BP,
IEA,BP,GO:0045944,,involved_in,positive regulation of transcription by RNA polymerase II,AKIRIN2,BP,
ISS,BP,GO:0045944,,involved_in,positive regulation of transcription by RNA polymerase II,AKIRIN2,BP,
IEA,BP,GO:0050871,,involved_in,positive regulation of B cell activation,AKIRIN2,BP,
IEA,BP,GO:0051147,,involved_in,regulation of muscle cell differentiation,AKIRIN2,BP,
IDA,BP,GO:0071630,34711951,acts_upstream_of_positive_effect,nuclear protein quality control by the ubiquitin-proteasome system,AKIRIN2,BP,
IEA,BP,GO:0006954,,acts_upstream_of_or_within,inflammatory response,SCYL3,BP,
IEA,BP,GO:0008104,,acts_upstream_of_or_within,protein localization,SCYL3,BP,
NAS,BP,GO:0016477,12651155,involved_in,cell migration,SCYL3,BP,
IEA,BP,GO:0021522,,acts_upstream_of_or_within,spinal cord motor neuron differentiation,SCYL3,BP,
IEA,BP,GO:0048666,,acts_upstream_of_or_within,neuron development,SCYL3,BP,
TAS,BP,GO:0006457,9830037,involved_in,protein folding,HSPBP1,BP,
IDA,BP,GO:0031398,16831871,involved_in,positive regulation of protein ubiquitination,HSPBP1,BP,
IDA,BP,GO:0032436,16831871,involved_in,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,HSPBP1,BP,
,,,,,,MATCAP2,BP,
IEA,BP,GO:0042254,,involved_in,ribosome biogenesis,AIRIM,BP,
IDA,BP,GO:0042273,35354024,involved_in,ribosomal large subunit biogenesis,AIRIM,BP,
IDA,BP,GO:0002943,34556860,involved_in,tRNA dihydrouridine synthesis,DUS3L,BP,
IMP,BP,GO:0002943,34798057,involved_in,tRNA dihydrouridine synthesis,DUS3L,BP,
IEA,BP,GO:0006397,,involved_in,mRNA processing,DUS3L,BP,
IDA,BP,GO:0006417,34556860,involved_in,regulation of translation,DUS3L,BP,
IEA,BP,GO:0008033,,involved_in,tRNA processing,DUS3L,BP,
IEA,BP,GO:0000077,,acts_upstream_of_or_within,DNA damage checkpoint signaling,HUS1,BP,
IEA,BP,GO:0000077,,involved_in,DNA damage checkpoint signaling,HUS1,BP,
IMP,BP,GO:0000077,21659603,involved_in,DNA damage checkpoint signaling,HUS1,BP,
NAS,BP,GO:0000077,19464297,involved_in,DNA damage checkpoint signaling,HUS1,BP,
TAS,BP,GO:0000077,9878245,involved_in,DNA damage checkpoint signaling,HUS1,BP,
IBA,BP,GO:0000723,,involved_in,telomere maintenance,HUS1,BP,
IBA,BP,GO:0000724,,involved_in,double-strand break repair via homologous recombination,HUS1,BP,
IEA,BP,GO:0000724,,involved_in,double-strand break repair via homologous recombination,HUS1,BP,
IEA,BP,GO:0006281,,involved_in,DNA repair,HUS1,BP,
TAS,BP,GO:0006281,9872989,involved_in,DNA repair,HUS1,BP,
IBA,BP,GO:0006289,,involved_in,nucleotide-excision repair,HUS1,BP,
IEA,BP,GO:0006974,,acts_upstream_of_or_within,DNA damage response,HUS1,BP,
IEA,BP,GO:0006974,,involved_in,DNA damage response,HUS1,BP,
TAS,BP,GO:0006974,9872989,involved_in,DNA damage response,HUS1,BP,
IEA,BP,GO:0009314,,involved_in,response to radiation,HUS1,BP,
IEA,BP,GO:0009411,,acts_upstream_of_or_within,response to UV,HUS1,BP,
IEA,BP,GO:0009792,,involved_in,embryo development ending in birth or egg hatching,HUS1,BP,
IBA,BP,GO:0031573,,involved_in,mitotic intra-S DNA damage checkpoint signaling,HUS1,BP,
IBA,BP,GO:0033314,,involved_in,mitotic DNA replication checkpoint signaling,HUS1,BP,
IBA,BP,GO:0044778,,involved_in,meiotic DNA integrity checkpoint signaling,HUS1,BP,
IDA,BP,GO:0071479,21659603,involved_in,cellular response to ionizing radiation,HUS1,BP,
IBA,BP,GO:0001920,,involved_in,negative regulation of receptor recycling,TRAT1,BP,
IDA,BP,GO:0001920,11390434,acts_upstream_of_or_within,negative regulation of receptor recycling,TRAT1,BP,
IEA,BP,GO:0002250,,involved_in,adaptive immune response,TRAT1,BP,
IEA,BP,GO:0002376,,involved_in,immune system process,TRAT1,BP,
TAS,BP,GO:0006968,9687533,involved_in,cellular defense response,TRAT1,BP,
TAS,BP,GO:0007165,9687533,involved_in,signal transduction,TRAT1,BP,
IEA,BP,GO:0007169,,involved_in,cell surface receptor protein tyrosine kinase signaling pathway,TRAT1,BP,
IDA,BP,GO:0050850,11390434,acts_upstream_of_or_within,positive regulation of calcium-mediated signaling,TRAT1,BP,
IBA,BP,GO:0050862,,involved_in,positive regulation of T cell receptor signaling pathway,TRAT1,BP,
IDA,BP,GO:0050862,11390434,acts_upstream_of_or_within,positive regulation of T cell receptor signaling pathway,TRAT1,BP,
IDA,BP,GO:0051051,11390434,acts_upstream_of_or_within,negative regulation of transport,TRAT1,BP,
IBA,BP,GO:0000122,,involved_in,negative regulation of transcription by RNA polymerase II,PCGF1,BP,
IDA,BP,GO:0006338,16943429,involved_in,chromatin remodeling,PCGF1,BP,
IMP,BP,GO:0006338,26151332,involved_in,chromatin remodeling,PCGF1,BP,
TAS,BP,GO:0006355,26687479,involved_in,regulation of DNA-templated transcription,PCGF1,BP,
,,,,,,ZNF26,BP,
,,,,,,FAM241A,BP,
IBA,BP,GO:0001706,,involved_in,endoderm formation,DUSP1,BP,
IMP,BP,GO:0007162,22991462,involved_in,negative regulation of cell adhesion,DUSP1,BP,
IBA,BP,GO:0007165,,involved_in,signal transduction,DUSP1,BP,
IEA,BP,GO:0008285,,involved_in,negative regulation of cell population proliferation,DUSP1,BP,
IEA,BP,GO:0009416,,involved_in,response to light stimulus,DUSP1,BP,
IEA,BP,GO:0032355,,involved_in,response to estradiol,DUSP1,BP,
IEA,BP,GO:0032526,,involved_in,response to retinoic acid,DUSP1,BP,
IEA,BP,GO:0032870,,involved_in,cellular response to hormone stimulus,DUSP1,BP,
IEA,BP,GO:0033574,,involved_in,response to testosterone,DUSP1,BP,
IDA,BP,GO:0035335,1406996,involved_in,peptidyl-tyrosine dephosphorylation,DUSP1,BP,
ISS,BP,GO:0035335,,involved_in,peptidyl-tyrosine dephosphorylation,DUSP1,BP,
IEA,BP,GO:0035556,,involved_in,intracellular signal transduction,DUSP1,BP,
ISS,BP,GO:0035970,,involved_in,peptidyl-threonine dephosphorylation,DUSP1,BP,
IEA,BP,GO:0042542,,involved_in,response to hydrogen peroxide,DUSP1,BP,
IEA,BP,GO:0043065,,involved_in,positive regulation of apoptotic process,DUSP1,BP,
IEA,BP,GO:0043066,,involved_in,negative regulation of apoptotic process,DUSP1,BP,
IDA,BP,GO:0043407,7593328,involved_in,negative regulation of MAP kinase activity,DUSP1,BP,
IEA,BP,GO:0043409,,involved_in,negative regulation of MAPK cascade,DUSP1,BP,
ISS,BP,GO:0043409,,involved_in,negative regulation of MAPK cascade,DUSP1,BP,
IEA,BP,GO:0051384,,involved_in,response to glucocorticoid,DUSP1,BP,
ISS,BP,GO:0051447,,involved_in,negative regulation of meiotic cell cycle,DUSP1,BP,
IEA,BP,GO:0051591,,involved_in,response to cAMP,DUSP1,BP,
IEA,BP,GO:0051592,,involved_in,response to calcium ion,DUSP1,BP,
ISS,BP,GO:0070262,,involved_in,peptidyl-serine dephosphorylation,DUSP1,BP,
IDA,BP,GO:0070371,16314496,acts_upstream_of_or_within,ERK1 and ERK2 cascade,DUSP1,BP,
IEA,BP,GO:0070373,,involved_in,negative regulation of ERK1 and ERK2 cascade,DUSP1,BP,
IMP,BP,GO:0090027,22991462,involved_in,negative regulation of monocyte chemotaxis,DUSP1,BP,
ISS,BP,GO:0090266,,involved_in,regulation of mitotic cell cycle spindle assembly checkpoint,DUSP1,BP,
IBA,BP,GO:1903753,,involved_in,negative regulation of p38MAPK cascade,DUSP1,BP,
IMP,BP,GO:1903753,22991462,involved_in,negative regulation of p38MAPK cascade,DUSP1,BP,
IMP,BP,GO:1990869,22991462,involved_in,cellular response to chemokine,DUSP1,BP,
IEA,BP,GO:2000279,,involved_in,negative regulation of DNA biosynthetic process,DUSP1,BP,
IEA,BP,GO:0006605,,acts_upstream_of_or_within,protein targeting,STXBP4,BP,
IEA,BP,GO:0006950,,involved_in,response to stress,STXBP4,BP,
IDA,BP,GO:0006974,19451233,involved_in,DNA damage response,STXBP4,BP,
IBA,BP,GO:0008286,,involved_in,insulin receptor signaling pathway,STXBP4,BP,
IEA,BP,GO:0008286,,acts_upstream_of_or_within,insulin receptor signaling pathway,STXBP4,BP,
IEA,BP,GO:0010827,,acts_upstream_of_or_within,regulation of D-glucose transmembrane transport,STXBP4,BP,
IMP,BP,GO:0010838,19451233,involved_in,positive regulation of keratinocyte proliferation,STXBP4,BP,
IMP,BP,GO:0050821,19451233,involved_in,protein stabilization,STXBP4,BP,
IEA,BP,GO:0051049,,involved_in,regulation of transport,STXBP4,BP,
IDA,BP,GO:0061178,12855681,involved_in,regulation of insulin secretion involved in cellular response to glucose stimulus,STXBP4,BP,
IEA,BP,GO:0071346,,acts_upstream_of_or_within,cellular response to type II interferon,STXBP4,BP,
IMP,BP,GO:1902808,19451233,involved_in,positive regulation of cell cycle G1/S phase transition,STXBP4,BP,
IBA,BP,GO:0032480,,involved_in,negative regulation of type I interferon production,GPATCH3,BP,
IEA,BP,GO:0032480,,involved_in,negative regulation of type I interferon production,GPATCH3,BP,
IMP,BP,GO:0032480,28414768,involved_in,negative regulation of type I interferon production,GPATCH3,BP,
IBA,BP,GO:0039536,,involved_in,negative regulation of RIG-I signaling pathway,GPATCH3,BP,
IEA,BP,GO:0039536,,involved_in,negative regulation of RIG-I signaling pathway,GPATCH3,BP,
IMP,BP,GO:0039536,28414768,involved_in,negative regulation of RIG-I signaling pathway,GPATCH3,BP,
IBA,BP,GO:0045893,,involved_in,positive regulation of DNA-templated transcription,GPATCH3,BP,
IDA,BP,GO:0045893,28397860,involved_in,positive regulation of DNA-templated transcription,GPATCH3,BP,
IEA,BP,GO:0032436,,acts_upstream_of_or_within,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,ZFAND2A,BP,
IBA,BP,GO:0043161,,involved_in,proteasome-mediated ubiquitin-dependent protein catabolic process,ZFAND2A,BP,
IBA,BP,GO:0045047,,involved_in,protein targeting to ER,ZFAND2A,BP,
IEA,BP,GO:0071243,,acts_upstream_of_or_within,cellular response to arsenic-containing substance,ZFAND2A,BP,
IBA,BP,GO:0036158,,involved_in,outer dynein arm assembly,DNAL1,BP,
IMP,BP,GO:0036158,21496787,involved_in,outer dynein arm assembly,DNAL1,BP,
IEA,BP,GO:0002070,,involved_in,epithelial cell maturation,TMEM79,BP,
ISS,BP,GO:0002070,,involved_in,epithelial cell maturation,TMEM79,BP,
IEA,BP,GO:0031069,,acts_upstream_of_or_within,hair follicle morphogenesis,TMEM79,BP,
IEA,BP,GO:0042335,,acts_upstream_of_or_within,cuticle development,TMEM79,BP,
IBA,BP,GO:0045055,,involved_in,regulated exocytosis,TMEM79,BP,
IEA,BP,GO:0045055,,involved_in,regulated exocytosis,TMEM79,BP,
ISS,BP,GO:0045055,,involved_in,regulated exocytosis,TMEM79,BP,
IEA,BP,GO:0045684,,involved_in,positive regulation of epidermis development,TMEM79,BP,
ISS,BP,GO:0045684,,involved_in,positive regulation of epidermis development,TMEM79,BP,
IEA,BP,GO:0061436,,involved_in,establishment of skin barrier,TMEM79,BP,
ISS,BP,GO:0061436,,involved_in,establishment of skin barrier,TMEM79,BP,
IEA,BP,GO:0070268,,acts_upstream_of_or_within,cornification,TMEM79,BP,
IEA,BP,GO:0002376,,involved_in,immune system process,ANKRD17,BP,
IMP,BP,GO:0006275,19150984,involved_in,regulation of DNA replication,ANKRD17,BP,
IDA,BP,GO:0042742,23711367,involved_in,defense response to bacterium,ANKRD17,BP,
IDA,BP,GO:0043123,22328336,involved_in,positive regulation of canonical NF-kappaB signal transduction,ANKRD17,BP,
IBA,BP,GO:0045087,,involved_in,innate immune response,ANKRD17,BP,
IDA,BP,GO:0045087,23711367,involved_in,innate immune response,ANKRD17,BP,
IEA,BP,GO:0045087,,involved_in,innate immune response,ANKRD17,BP,
IMP,BP,GO:0045787,19150984,involved_in,positive regulation of cell cycle,ANKRD17,BP,
IMP,BP,GO:1900087,19150984,involved_in,positive regulation of G1/S transition of mitotic cell cycle,ANKRD17,BP,
IDA,BP,GO:1900245,22328336,involved_in,positive regulation of MDA-5 signaling pathway,ANKRD17,BP,
IDA,BP,GO:1900246,22328336,involved_in,positive regulation of RIG-I signaling pathway,ANKRD17,BP,
IEA,BP,GO:0002934,,acts_upstream_of_or_within,desmosome organization,GRHL1,BP,
IDA,BP,GO:0006355,12175488,acts_upstream_of_or_within,regulation of DNA-templated transcription,GRHL1,BP,
IBA,BP,GO:0006357,,involved_in,regulation of transcription by RNA polymerase II,GRHL1,BP,
IEA,BP,GO:0006357,,involved_in,regulation of transcription by RNA polymerase II,GRHL1,BP,
IEA,BP,GO:0008544,,involved_in,epidermis development,GRHL1,BP,
ISS,BP,GO:0008544,,involved_in,epidermis development,GRHL1,BP,
IEA,BP,GO:0045616,,acts_upstream_of_or_within,regulation of keratinocyte differentiation,GRHL1,BP,
IDA,BP,GO:0045944,"[12175488, 35013237]",involved_in,positive regulation of transcription by RNA polymerase II,GRHL1,BP,
IMP,BP,GO:0045944,29309642,involved_in,positive regulation of transcription by RNA polymerase II,GRHL1,BP,
IEA,BP,GO:0061436,,acts_upstream_of_or_within,establishment of skin barrier,GRHL1,BP,
IBA,BP,GO:0000290,,involved_in,deadenylation-dependent decapping of nuclear-transcribed mRNA,LSM1,BP,
TAS,BP,GO:0000375,10369684,involved_in,"RNA splicing, via transesterification reactions",LSM1,BP,
IEA,BP,GO:0000956,,involved_in,nuclear-transcribed mRNA catabolic process,LSM1,BP,
IEA,BP,GO:0006397,,involved_in,mRNA processing,LSM1,BP,
TAS,BP,GO:0006397,10369684,involved_in,mRNA processing,LSM1,BP,
IEA,BP,GO:0008380,,involved_in,RNA splicing,LSM1,BP,
